French	English	Spanish
Camille	Camille	Camille
Tech Éclair	Tech Flash	Tech Relámpago
Luc	Luc	Luc
intelligence artificielle	artificial intelligence	inteligencia artificial
architecture	architecture	arquitectura
Big Bang	Big Bang	Big Bang
Transformer	Transformer	Transformer
ChatGPT	ChatGPT	ChatGPT
DALL-E	DALL-E	DALL-E
traducteur automatique	machine translator	traductor automático
Attention is All You Need	Attention is All You Need	Attention is All You Need
IA	AI	IA
RNNs	RNNs	RNNs
mécanisme d'attention	attention mechanism	mecanismo de atención
attention	attention	atención
modèle	model	modelo
calculs de pertinence	relevance calculations	cálculos de relevancia
traitement en parallèle	parallel processing	procesamiento en paralelo
cartes graphiques	graphics cards	tarjetas gráficas
modèles	models	modelos
Grands Modèles de Langage	Large Language Models	Grandes Modelos de Lenguaje
LLMs	LLMs	LLMs
paramètres	parameters	parámetros
lecture attentionnelle	attentional reading	lectura atencional
attention multi-têtes	multi-head attention	atención multi-cabezal
langage	language	lenguaje
Vision Transformers	Vision Transformers	Vision Transformers
reconnaissance d'images	image recognition	reconocimiento de imágenes
biologie	biology	biología
AlphaFold	AlphaFold	AlphaFold
structure 3D	3D structure	estructura 3D
protéine	protein	proteína
séquence génétique	genetic sequence	secuencia genética
recherche médicale	medical research	investigación médica
découverte de médicaments	drug discovery	descubrimiento de fármacos
grammaire universelle	universal grammar	gramática universal
génération de code	code generation	generación de código
composition musicale	musical composition	composición musical
transfer learning	transfer learning	aprendizaje por transferencia
pré-entraîné	pre-trained	preentrenado
affiner	fine-tune	afinar
contexte	context	contexto
nature parallèle	parallel nature	naturaleza paralela
paradigme	paradigm	paradigma
