French	English	Spanish
Camille	Camille	Camille
Tech Éclair	Tech Flash	Tech Relámpago
podcast	podcast	podcast
Luc	Luc	Luc
modèles d'IA	AI models	modelos de IA
IA	AI	IA
boîtes noires	black boxes	cajas negras
apprentissage	learning	aprendizaje
pré-entraînement	pre-training	preentrenamiento
Internet	Internet	Internet
affinage	fine-tuning	ajuste fino
fine-tuning	fine-tuning	fine-tuning
apprentissage par transfert	transfer learning	aprendizaje por transferencia
mécanique quantique	quantum mechanics	mecánica cuántica
anglais	English	inglés
français	French	francés
grammaire	grammar	gramática
syntaxe	syntax	sintaxis
structure de phrase	sentence structure	estructura de la frase
verbe	verb	verbo
Transformers	Transformers	Transformers
mémoire à court terme	short-term memory	memoria a corto plazo
fenêtre de contexte	context window	ventana de contexto
apprentissage en contexte	in-context learning	aprendizaje en contexto
ICL	ICL	ICL
In-Context Learning	In-Context Learning	In-Context Learning
ancrage	grounding	anclaje
grounding	grounding	grounding
prompt	prompt	prompt
modèle	model	modelo
structure interne	internal structure	estructura interna
chatbots	chatbots	chatbots
historique	history	historial
session	session	sesión
contexte	context	contexto
Mémoire	Memory	Memoria
fonctions de mémorisation	memorization functions	funciones de memorización
apprentissage en contexte automatisé	automated in-context learning	aprendizaje en contexto automatizado
consultant temporaire	temporary consultant	consultor temporal
expert permanent	permanent expert	experto permanente
