English	French	Spanish	German	Japanese	Chinese	Esperanto	Hindi	Telugu	Kannada	Turkish	Estonian	Serbian	Korean	Finnish	Hungarian	Bulgarian	Tamil	Indonesian	Arabic	Persian	Urdu	Hebrew	Italian	Portuguese	Russian	Ukrainian	Polish	Czech	Dutch	Swedish	Interlingua	Greek	Catalan	Romanian	Vietnamese	Latvian	Lithuanian	Malayalam	Bengali	Thai	Malay	Danish	Norwegian	Icelandic	Croatian	Slovak	Slovene	Swahili	Welsh	Basque	Armenian	Georgian	Khmer	Burmese	Albanian	Afrikaans	Galician	Tagalog	Macedonian	Azerbaijani	Marathi	Nepali	Belarusian	Irish	Lao	Mongolian	Sinhala
Bridges in Physics	Passerelles en Physique	Puentes en Física	Brücken in der Physik	物理学への架け橋	物理之桥	Pontoj en Fiziko	भौतिकी में सेतु	భౌతిక శాస్త్రంలో వారధులు	ಭೌತಶಾಸ್ತ್ರದಲ್ಲಿನ ಸೇತುವೆಗಳು	Fizikte Köprüler	Sillad füüsikas	Mostovi u fizici	물리학의 가교	Sillat fysiikassa	Hidak a fizikában	Мостове във физиката	இயற்பியலில் பாலங்கள்	Jembatan dalam Fisika	الجسور في الفيزياء	پل‌ها در فیزیک	فزکس میں پل	גשרים בפיזיקה	Ponti nella Fisica	Pontes na Física	Мосты в физике	Мости у фізиці	Mosty w fizyce	Mosty ve fyzice	Bruggen in de Natuurkunde	Broar inom fysik	Pontes in Physica	Γέφυρες στη Φυσική	Ponts en la Física	Poduri în Fizică	Những cầu nối trong Vật lý	Tilti fizikā	Tiltai fizikoje	ഫിസിക്സിലെ ബ്രിഡ്ജുകൾ	পদার্থবিজ্ঞানে সেতুবন্ধন	สะพานเชื่อมในฟิสิกส์	Jambatan dalam Fizik	Broer i fysik	Broer i fysikk	Brýr í eðlisfræðinni	Mostovi u fizici	Mosty vo fyzike	Mostovi v fiziki	Madaraja katika Fizikia	Pontydd mewn Ffiseg	Zubiak Fisikan	Կամուրջներ ֆիզիկայում	ხიდები ფიზიკაში	ស្ពានក្នុងរូបវិទ្យា	ရူပဗေဒရှိ တံတားများ	Urat në Fizikë	Brûe in Fisika	Pontes na Física	Mga Tulay sa Pisika	Мостови во физиката	Fizikada körpülər	भौतिकशास्त्रातील पूल	भौतिकशास्त्रमा पुलहरू	Масты ў фізіцы	Droichidí i bhFisic	ຂົວໃນຟີຊິກສາດ	Физик дэх гүүрүүд	භෞතික විද්‍යාවේ පාලම්
quantum world	monde quantique	mundo cuántico	Quantenwelt	量子世界	量子世界	kvantuma mondo	क्वांटम दुनिया	క్వాంటం ప్రపంచం	ಕ್ವಾಂಟಮ್ ಪ್ರಪಂಚ	kuantum dünyası	kvantmaailm	kvantni svet	양자 세계	kvanttimaailma	kvantumvilág	квантов свят	குவாண்டம் உலகம்	dunia kuantum	العالم الكمي	دنیای کوانتومی	کوانٹم دنیا	עולם הקוונטים	mondo quantistico	mundo quântico	квантовый мир	квантовий світ	świat kwantowy	kvantový svět	quantumwereld	kvantvärld	mundo quantic	κβαντικός κόσμος	món quàntic	lumea cuantică	thế giới lượng tử	kvantu pasaule	kvantinis pasaulis	ക്വാണ്ടം ലോകം	কোয়ান্টাম জগৎ	โลกควอนตัม	dunia kuantum	kvanteverden	kvanteverden	skammtaheimur	kvantni svijet	kvantový svet	kvantni svet	ulimwengu wa kwanta	byd cwantwm	mundu kuantikoa	կվանտային աշխարհ	კვანტური სამყარო	ពិភពកង់ទុយ	ကွမ်တမ်ကမ္ဘာ	bota kuantike	kwantumwêreld	mundo cuántico	mundong quantum	квантски свет	kvant dünyası	क्वांटम जग	क्वान्टम संसार	квантавы свет	domhan chuantam	ໂລກຄວອນຕຳ	квант ертөнц	ක්වොන්ටම් ලෝකය
physics	physique	física	Physik	物理学	物理学	fiziko	भौतिकी	భౌతిక శాస్త్రం	ಭೌತಶಾಸ್ತ್ರ	fizik	füüsika	fizika	물리학	fysiikka	fizika	физика	இயற்பியல்	fisika	الفيزياء	فیزیک	طبیعیات	פיזיקה	fisica	física	физика	фізика	fizyka	fyzika	natuurkunde	fysik	physica	φυσική	física	fizică	vật lý học	fizika	fizika	ഭൗതികശാസ്ത്രം	পদার্থবিজ্ঞান	ฟิสิกส์	fizik	fysik	fysikk	eðlisfræði	fizika	fizika	fizika	fizikia	ffiseg	fisika	ֆիզիկա	ფიზიკა	រូបវិទ្យា	ရူပဗေဒ	fizika	fisika	física	pisika	физика	fizika	भौतिकशास्त्र	भौतिकशास्त्र	фізіка	fisic	ຟີຊິກສາດ	физик	භෞතික විද්‍යාව
theoretical physicist	physicien théoricien	físico teórico	theoretischer Physiker	理論物理学者	理论物理学家	teoria fizikisto	सैद्धांतिक भौतिक विज्ञानी	సిద్ధాంత భౌతిక శాస్త్రవేత్త	ಸಿದ್ಧಾಂತ ಭೌತವಿಜ್ಞಾನಿ	teorik fizikçi	teoreetiline füüsik	teoretički fizičar	이론 물리학자	teoreettinen fyysikko	elméleti fizikus	теоретичен физик	கோட்பாட்டு இயற்பியலாளர்	fisikawan teoritis	فيزيائي نظري	فیزیکدان نظری	نظریاتی طبیعیات دان	פיזיקאי תיאורטי	fisico teorico	físico teórico	физик-теоретик	фізик-теоретик	fizyk teoretyk	teoretický fyzik	theoretisch natuurkundige	teoretisk fysiker	physico theoretic	θεωρητικός φυσικός	físic teòric	fizician teoretician	nhà vật lý lý thuyết	teorētiskais fiziķis	teorinis fizikas	സൈദ്ധാന്തിക ഭൗതികശാസ്ത്രജ്ഞൻ	তাত্ত্বিক পদার্থবিদ	นักฟิสิกส์ทฤษฎี	ahli fizik teori	teoretisk fysiker	teoretisk fysiker	kenninga-eðlisfræðingur	teoretički fizičar	teoretický fyzik	teoretični fizik	mwanafizikia wa nadharia	ffisegydd damcaniaethol	fisiko teoretikoa	տեսական ֆիզիկոս	თეორიული ფიზიკოსი	អ្នករូបវិទ្យាទ្រឹស្ដី	သီအိုရီရူပဗေဒပညာရှင်	fizikan teorik	teoretiese fisikus	físico teórico	teoretikal na pisiko	теоретски физичар	nəzəri fizik	सैद्धांतिक भौतिकशास्त्रज्ञ	सैद्धान्तिक भौतिकशास्त्री	тэорэтычны фізік	fisiceoir teoiriciúil	ນັກຟີຊິກທິດສະດີ	теоретикийн физикч	න්‍යායාත්මක භෞතික විද්‍යාඥයා
experimental physicist	physicien expérimental	físico experimental	Experimentalphysiker	実験物理学者	实验物理学家	eksperimenta fizikisto	प्रायोगिक भौतिक विज्ञानी	ప్రయోగాత్మక భౌతిక శాస్త్రవేత్త	ಪ್ರಾಯೋಗಿಕ ಭೌತವಿಜ್ಞಾನಿ	deneysel fizikçi	eksperimentaalne füüsik	eksperimentalni fizičar	실험 물리학자	kokeellinen fyysikko	kísérleti fizikus	експериментален физик	சோதனைமுறை இயற்பியலாளர்	fisikawan eksperimental	فيزيائي تجريبي	فیزیکدان تجربی	تجربی طبیعیات دان	פיזיקאי ניסיוני	fisico sperimentale	físico experimental	физик-экспериментатор	фізик-експериментатор	fizyk eksperymentator	experimentální fyzik	experimenteel natuurkundige	experimentalfysiker	physico experimental	πειραματικός φυσικός	físic experimental	fizician experimentalist	nhà vật lý thực nghiệm	eksperimentālais fiziķis	eksperimentinis fizikas	പരീക്ഷണാത്മക ഭൗതികശാസ്ത്രജ്ഞൻ	পরীক্ষামূলক পদার্থবিদ	นักฟิสิกส์ทดลอง	ahli fizik eksperimen	eksperimentel fysiker	eksperimentell fysiker	tilraunaeðlisfræðingur	eksperimentalni fizičar	experimentálny fyzik	eksperimentalni fizik	mwanafizikia wa majaribio	ffisegydd arbrofol	fisiko esperimentala	փորձարարական ֆիզիկոս	ექსპერიმენტული ფიზიკოსი	អ្នករូបវិទ្យាពិសោធន៍	လက်တွေ့စမ်းသပ်မှုဆိုင်ရာ ရူပဗေဒပညာရှင်	fizikan eksperimental	eksperimentele fisikus	físico experimental	eksperimental na pisiko	експериментален физичар	eksperimental fizik	प्रायोगिक भौतिकशास्त्रज्ञ	प्रयोगात्मक भौतिकशास्त्री	экспериментальны фізік	fisiceoir turgnamhach	ນັກຟີຊິກທົດລອງ	эксперименталь физикч	පරීක්ෂණාත්මක භෞතික විද්‍යාඥයා
Luc	Luc	Luc	Luc	リュック	卢克	Luc	ल्यूक	ల్యూక్	ಲ್ಯೂಕ್	Luc	Luc	Luc	뤽	Luc	Luc	Luc	லுக்	Luc	لوك	لوک	لوک	לוק	Luc	Luc	Люк	Люк	Luc	Luc	Luc	Luc	Luc	Λυκ	Luc	Luc	Luc	Luc	Luc	ല്യൂക്	ল্যুক	ลุค	Luc	Luc	Luc	Luc	Luc	Luc	Luc	Luc	Luc	Luc	Լյուկ	ლიუკ	ល្យុក	လျုခ်	Luc	Luc	Luc	Luc	Лук	Luc	ल्यूक	ल्युक	Люк	Luc	ລຸກ	Люк	ලියුක්
Camille	Camille	Camille	Camille	カミーユ	卡米尔	Camille	कमिल	కమిల్	ಕಮಿಲ್	Camille	Camille	Camille	카밀	Camille	Camille	Camille	காமில்	Camille	كاميل	کامیل	کامیل	קמיל	Camille	Camille	Камиль	Каміль	Camille	Camille	Camille	Camille	Camille	Καμίλ	Camille	Camille	Camille	Camille	Camille	കമീൽ	কামিল	คามิล	Camille	Camille	Camille	Camille	Camille	Camille	Camille	Camille	Camille	Camille	Կամիլ	კამილ	កាមីយ	ကာမီလ်	Camille	Camille	Camille	Camille	Камил	Camille	कॅमिल	क्यामिल	Каміль	Camille	ຄາມີຍ	Камий	කැමිල්
particles	particules	partículas	Teilchen	粒子	粒子	partikloj	कण	కణాలు	ಕಣಗಳು	parçacıklar	osakesed	čestice	입자들	hiukkaset	részecskék	частици	துகள்கள்	partikel	جسيمات	ذرات	ذرات	חלקיקים	particelle	partículas	частицы	частинки	cząstki	částice	deeltjes	partiklar	particulas	σωματίδια	partícules	particule	các hạt	daļiņas	dalelės	കണികകൾ	কণাগুলো	อนุภาค	zarah-zarah	partikler	partikler	eindir	čestice	častice	delci	chembechembe	gronynau	partikulak	մասնիկներ	ნაწილაკები	ភាគល្អិត	အမှုန်များ	grimcat	deeltjies	partículas	mga partikulo	честички	zərrəciklər	कण	कणहरू	часціцы	cáithníní	ອະນຸພາກ	бөөмс	අංශු
electrons	électrons	electrones	Elektronen	電子	电子	elektronoj	इलेक्ट्रॉन	ఎలక్ట్రాన్లు	ಎಲೆಕ್ಟ್ರಾನ್‌ಗಳು	elektronlar	elektronid	elektroni	전자들	elektronit	elektronok	електрони	எலக்ட்ரான்கள்	elektron	إلكترونات	الکترون‌ها	الیکٹرانز	אלקטרונים	elettroni	elétrons	электроны	електрони	elektrony	elektrony	elektronen	elektroner	electrones	ηλεκτρόνια	electrons	electroni	các electron	elektroni	elektronai	ഇലക്ട്രോണുകൾ	ইলেকট্রনসমূহ	อิเล็กตรอน	elektron	elektroner	elektroner	rafeindir	elektroni	elektróny	elektroni	elektroni	electronau	elektronak	էլեկտրոններ	ელექტრონები	អេឡិចត្រុង	အီလက်ထရွန်များ	elektronet	elektrone	electróns	mga elektron	електрони	elektronlar	इलेक्ट्रॉन्स	इलेक्ट्रोनहरू	электроны	leictreoin	ອີເລັກຕຣອນ	электронууд	ඉලෙක්ට්‍රෝන
waves	ondes	ondas	Wellen	波	波	ondoj	तरंगें	తరంగాలు	ತರಂಗಗಳು	dalgalar	lained	talasi	파동들	aallot	hullámok	вълни	அலைகள்	gelombang	موجات	موج‌ها	لہریں	גלים	onde	ondas	волны	хвилі	fale	vlny	golven	vågor	undas	κύματα	ones	unde	các sóng	viļņi	bangos	തരംഗങ്ങൾ	তরঙ্গসমূহ	คลื่น	gelombang	bølger	bølger	bylgjur	valovi	vlny	valovi	mawimbi	tonnau	olatuak	ալիքներ	ტალღები	រលក	လှိုင်းများ	valët	golwe	ondas	mga alon	бранови	dalğalar	लहरी	तरङ्गहरू	хвалі	tonnta	ຄື້ນ	долгионууд	තරංග
wave function	fonction d'onde	función de onda	Wellenfunktion	波動関数	波函数	onda funkcio	तरंग फलन	తరంగ ప్రమేయం	ತರಂಗ ಉತ್ಪನ್ನ	dalga fonksiyonu	lainefunktsioon	talasna funkcija	파동 함수	aaltofunktio	hullámfüggvény	вълнова функция	அலை சார்பு	fungsi gelombang	الدالة الموجية	تابع موج	ویو فنکشن	פונקציית גל	funzione d'onda	função de onda	волновая функция	хвильова функція	funkcja falowa	vlnová funkce	golffunctie	vågfunktion	function de unda	συνάρτηση κύματος	funció d'ona	funcția de undă	hàm sóng	viļņa funkcija	bangos funkcija	തരംഗ ഫംഗ്ഷൻ	তরঙ্গ ফাংশন	ฟังก์ชันคลื่น	fungsi gelombang	bølgefunktion	bølgefunksjon	bylgjufall	valna funkcija	vlnová funkcia	valovna funkcija	kazi ya wimbi	swyddogaeth ton	olatu-funtzioa	ալիքային ֆունկցիա	ტალღური ფუნქცია	អនុគមន៍រលក	လှိုင်းဖန်ရှင်	funksioni i valës	golfunksie	función de onda	punsiyon ng alon	бранова функција	dalğa funksiyası	तरंग फलन	तरङ्ग फलन	хвалевая функцыя	feidhm thonnta	ຟັງຊັນຄື້ນ	долгионы функц	තරංග ශ්‍රිතය
psi	psi	psi	Psi	プサイ (ψ)	psi (ψ)	psi	साई (psi)	ప్సై	ಪ್ಸೈ	psi	psi	psi	프사이	psi	psi	пси	psi	psi	psi	پسی	سائی	פסי	psi	psi	пси	псі	psi	psi	psi	psi	psi	ψ	psi	psi	psi	psi	psi	ψ	সাই	psi	psi	psi	psi	psi	psi	psi	psi	psi	psi	psi	պսի	psi	psi	psi	psi	psi	psi	psi	пси	psi	psi	psi	псі	psi	psi	psi	psi
probability	probabilité	probabilidad	Wahrscheinlichkeit	確率	概率	probablo	प्रायिकता	సంభావ్యత	ಸಂಭವನೀಯತೆ	olasılık	tõenäosus	verovatnoća	확률	todennäköisyys	valószínűség	вероятност	நிகழ்தகவு	probabilitas	الاحتمالية	احتمال	احتمال	הסתברות	probabilità	probabilidade	вероятность	ймовірність	prawdopodobieństwo	pravděpodobnost	waarschijnlijkheid	sannolikhet	probabilitate	πιθανότητα	probabilitat	probabilitate	xác suất	varbūtība	tikimybė	സാധ്യത	সম্ভাবনা	ความน่าจะเป็น	kebarangkalian	sandsynlighed	sannsynlighet	líkur	vjerojatnost	pravdepodobnosť	verjetnost	uwezekano	tebygolrwydd	probabilitatea	հավանականություն	ალბათობა	ប្រូបាប៊ីលីតេ	ဖြစ်နိုင်ခြေ	probabiliteti	waarskynlikheid	probabilidade	probabilidad	веројатност	ehtimal	संभाव्यता	सम्भाव्यता	імавернасць	dóchúlacht	ຄວາມໜ້າຈະເປັນ	магадлал	සම්භාවිතාව
wave	onde	onda	Welle	波	波	ondo	तरंग	తరంగం	ತರಂಗ	dalga	laine	talas	파동	aalto	hullám	вълна	அலை	gelombang	موجة	موج	لہر	גל	onda	onda	волна	хвиля	fala	vlna	golf	våg	unda	κύμα	ona	undă	sóng	viļnis	banga	തരംഗം	তরঙ্গ	คลื่น	gelombang	bølge	bølge	bylgja	val	vlna	val	wimbi	ton	olatu	ալիք	ტალღა	រលក	လှိုင်း	vala	golf	onda	alon	бран	dalğa	लहर	तरङ्ग	хваля	tonn	ຄື້ນ	долгион	තරංගය
square	carré	cuadrado	Quadrat	二乗	平方	kvadrato	वर्ग	వర్గం	ವರ್ಗ	kare	ruut	kvadrat	제곱	neliö	négyzet	квадрат	வர்க்கம்	kuadrat	مربع	مربع	مربع	ריבוע	quadrato	quadrado	квадрат	квадрат	kwadrat	druhá mocnina	kwadraat	kvadrat	quadrato	τετράγωνο	quadrat	pătrat	bình phương	kvadrāts	kvadratas	വർഗ്ഗം	বর্গ	กำลังสอง	kuasa dua	kvadrat	kvadrat	ferningur	kvadrat	druhá mocnina	kvadrat	kipeo cha pili	sgwar	kuadratu	քառակուսի	კვადრატი	ការ៉េ	နှစ်ထပ်ကိန်း	katror	kwadraat	cadrado	kuwadrado	квадрат	kvadrat	वर्ग	वर्ग	квадрат	cearnra	ກຳລັງສອງ	квадрат	වර්ගය
amplitude	amplitude	amplitud	Amplitude	振幅	振幅	amplitudo	आयाम	విస్తృతి	ವ್ಯಾಪ್ತಿ	genlik	amplituud	amplituda	진폭	amplitudi	amplitūdó	амплитуда	வீச்சு	amplitudo	سعة	دامنه	ایمپلی ٹیوڈ	אמפליטודה	ampiezza	amplitude	амплитуда	амплітуда	amplituda	amplitude	amplitude	amplitud	amplitude	πλάτος	amplitud	amplitudine	biên độ	amplitūda	amplitudė	ആംപ്ലിറ്റ്യൂഡ്	বিস্তার	แอมพลิจูด	amplitud	amplitude	amplitude	sveifluvídd	amplituda	amplituda	amplituda	amplitudi	ampiltud	amplitudea	ամպլիտուդ	ამპლიტუდა	អំព្លីទុយ	အမ်ပလီကျု	amplitudë	amplitude	amplitude	amplitud	амплитуда	amplituda	आयाम	आयाम	амплітуда	amplitúd	ແອມພິຕຸດ	амплитуд	විස්තාරය
