onde-af: 68/100点
onde-ar: 77/100点
onde-az: 32/100点
onde-be: 37/100点
onde-bg: 58/100点
onde-bn: 42/100点
onde-ca: 90/100点
onde-cs: 60/100点
onde-cy: 26/100点
onde-da: 83/100点
onde-de: 91/100点
onde-el: 31/100点
onde-eo: 31/100点
onde-es: 97/100点
onde-et: 33/100点
onde-eu: 26/100点
onde-fa: 50/100点
onde-fi: 48/100点
onde-fr: 97/100点
onde-ga: 14/100点
onde-gl: 75/100点
onde-he: 32/100点
onde-hi: 57/100点
onde-hr: 59/100点
onde-hu: 55/100点
onde-hy: 27/100点
onde-ia: 53/100点
onde-id: 60/100点
onde-is: 21/100点
onde-it: 95/100点
onde-ja: 56/100点
onde-ka: 32/100点
onde-km: 26/100点
onde-kn: 26/100点
onde-ko: 29/100点
onde-lo: 21/100点
onde-lt: 67/100点
onde-lv: 31/100点
onde-mk: 77/100点
onde-ml: 22/100点
onde-mn: 18/100点
onde-mr: 54/100点
onde-ms: 71/100点
onde-my: 22/100点
onde-ne: 52/100点
onde-nl: 77/100点
onde-no: 71/100点
onde-pl: 77/100点
onde-pt: 98/100点
onde-ro: 89/100点
onde-ru: 85/100点
onde-si: 20/100点
onde-sk: 50/100点
onde-sl: 50/100点
onde-sq: 52/100点
onde-sr: 65/100点
onde-sv: 85/100点
onde-sw: 26/100点
onde-ta: 30/100点
onde-te: 26/100点
onde-th: 28/100点
onde-tl: 33/100点
onde-tr: 88/100点
onde-uk: 86/100点
onde-ur: 59/100点
onde-vi: 91/100点
onde-zh: 95/100点
