finetuning-de-eval: 99/100点
finetuning-en-eval: 100/100点
finetuning-es-eval: 97/100点
finetuning-ja-eval: 97/100点
finetuning-zh-eval: 91/100点
momentum-de-eval: 97/100点
momentum-en-eval: 100/100点
momentum-es-eval: 92/100点
momentum-ja-eval: 96/100点
momentum-zh-eval: 95/100点
onde-de-eval: 97/100点
onde-en-eval: 96/100点
onde-eo-eval: 10/100点
onde-es-eval: 97/100点
onde-hi-eval: 13/100点
onde-ja-eval: 97/100点
onde-zh-eval: 95/100点
transformer-de-eval: 88/100点
transformer-en-eval: 97/100点
transformer-es-eval: 94/100点
transformer-ja-eval: 100/100点
transformer-zh-eval: 93/100点
