onde-af: 81/100点
onde-ar: 83/100点
onde-az: 65/100点
onde-be: 69/100点
onde-bg: 80/100点
onde-bn: 50/100点
onde-ca: 96/100点
onde-cs: 80/100点
onde-cy: 52/100点
onde-da: 77/100点
onde-de: 83/100点
onde-el: 66/100点
onde-eo: 57/100点
onde-es: 98/100点
onde-et: 53/100点
onde-eu: 45/100点
onde-fa: 74/100点
onde-fi: 63/100点
onde-fr: 97/100点
onde-ga: 29/100点
onde-gl: 80/100点
onde-he: 65/100点
onde-hi: 39/100点
onde-hr: 57/100点
onde-hu: 77/100点
onde-hy: 41/100点
onde-ia: 73/100点
onde-id: 78/100点
onde-is: 45/100点
onde-it: 95/100点
onde-ja: 94/100点
onde-ka: 31/100点
onde-km: 32/100点
onde-kn: 49/100点
onde-ko: 65/100点
onde-lo: 23/100点
onde-lt: 48/100点
onde-lv: 61/100点
onde-mk: 75/100点
onde-ml: 54/100点
onde-mn: 52/100点
onde-mr: 60/100点
onde-ms: 69/100点
onde-my: 38/100点
onde-ne: 77/100点
onde-nl: 86/100点
onde-no: 69/100点
onde-pl: 67/100点
onde-pt: 90/100点
onde-ro: 56/100点
onde-ru: 79/100点
onde-si: 33/100点
onde-sk: 71/100点
onde-sl: 73/100点
onde-sq: 54/100点
onde-sr: 61/100点
onde-sv: 89/100点
onde-sw: 58/100点
onde-ta: 30/100点
onde-te: 39/100点
onde-th: 42/100点
onde-tl: 67/100点
onde-tr: 83/100点
onde-uk: 88/100点
onde-ur: 70/100点
onde-vi: 93/100点
onde-zh: 79/100点
