English	French	Spanish	German	Japanese	Chinese
Camille	Camille	Camille	Camille	カミーユ	卡米尔
Tech Flash	Tech Éclair	Tech Relámpago	Tech-Blitz	テック・フラッシュ	科技快报
Luc	Luc	Luc	Luc	リュック	卢克
AI models	modèles d'IA	modelos de IA	KI-Modelle	AIモデル	AI 模型
black box	boîte noire	caja negra	Blackbox	ブラックボックス	黑盒
pre-training	pré-entraînement	preentrenamiento	Pre-Training	事前学習	预训练
AI	IA	IA	KI	AI	人工智能
fine-tuning	affinage	ajuste fino	Fine-Tuning	ファインチューニング	微调
transfer learning	apprentissage par transfert	aprendizaje por transferencia	Transfer Learning	転移学習	迁移学习
physicist	physicien	físico	Physiker	物理学者	物理学家
quantum mechanics	mécanique quantique	mecánica cuántica	Quantenmechanik	量子力学	量子力学
English	anglais	inglés	Englisch	英語	英语
French	français	francés	Französisch	フランス語	法语
grammar	grammaire	gramática	Grammatik	文法	语法
syntax	syntaxe	sintaxis	Syntax	構文	句法
sentence structure	structure de phrase	estructura de la oración	Satzstruktur	文構造	句子结构
verb	verbe	verbo	Verb	動詞	动词
Transformers	Transformers	Transformers	Transformers	Transformers	Transformers
context window	fenêtre de contexte	ventana de contexto	Kontextfenster	コンテキストウィンドウ	上下文窗口
In-Context Learning	apprentissage en contexte	aprendizaje en contexto	In-Context Learning	インコンテキスト学習	上下文学习
ICL	ICL	ICL	ICL	ICL	ICL
grounding	ancrage	anclaje	Grounding	グラウンディング	接地
prompt	prompt	prompt	Prompt	プロンプト	提示词
one-shot memory	mémoire one-shot	memoria one-shot	One-Shot-Memory	ワンショットメモリ	单次记忆
short-term memory	mémoire à court terme	memoria a corto plazo	Kurzzeitgedächtnis	短期記憶	短期记忆
Fine-tuning	Affinage	Ajuste fino	Fine-Tuning	ファインチューニング	微调
model	modèle	modelo	Modell	モデル	模型
chatbots	chatbots	chatbots	Chatbots	チャットボット	聊天机器人
chat history	historique de conversation	historial de chat	Chatverlauf	チャット履歴	聊天记录
context	contexte	contexto	Kontext	コンテキスト	上下文
Memory	Mémoire	Memoria	Speicher	メモリ	记忆
fine-tuned	affiné	ajustado finamente	feinabgestimmt	ファインチューニング済み	经过微调的
